PeriodoCod,Periodo,Ordine,Gruppo,Indicatore,Unita,Territorio,Valore
207,II sem 2007,4015,Intenzioni di investimento (% risposte),No,%,Aosta,54.5
207,II sem 2007,4015,Intenzioni di investimento (% risposte),No,%,Asti,70.0
207,II sem 2007,4015,Intenzioni di investimento (% risposte),No,%,Biella,58.3
207,II sem 2007,4015,Intenzioni di investimento (% risposte),No,%,Cuneo,52.9
207,II sem 2007,4015,Intenzioni di investimento (% risposte),No,%,Novara,66.7
207,II sem 2007,4015,Intenzioni di investimento (% risposte),No,%,Torino,56.5
207,II sem 2007,4015,Intenzioni di investimento (% risposte),No,%,Verbania,0.0
207,II sem 2007,4015,Intenzioni di investimento (% risposte),No,%,Vercelli,50.0
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Alessandria,15.2
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Aosta,18.2
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Asti,30.0
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Biella,25.0
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Cuneo,25.3
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Novara,16.7
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Torino,28.3
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Verbania,50.0
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, immobiliari",%,Vercelli,16.7
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Alessandria,24.2
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Aosta,27.3
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Asti,0.0
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Biella,16.7
207,II sem 2007,4015,Intenzioni di investimento (% risposte),"Si, solo o anche non immobiliari",%,Cuneo,21.8
